Species,Survival
acmi,22
acmi,22
acmi,22
acmi,22
acmi,22
acmi,22
acmi,25
acmi,22
amme,22
amme,18
amme,18
amme,18
amme,22
amme,22
amme,22
arpu,37
arpu,37
arpu,40
arpu,37
arpu,40
avba,18
avba,18
avba,22
avba,18
avba,22
avba,18
avba,22
avba,18
brca,23
brca,23
brca,23
brma,18
brma,18
brma,18
brma,18
brma,18
brma,18
brma,18
brma,18
brni,18
brni,22
brni,25
brni,23
brni,22
brni,29
brni,18
brni,25
defa,21
defa,17
defa,23
defa,21
defa,21
defa,21
defa,21
defa,17
femi,22
femi,22
femi,22
femi,25
femi,33
femi,31
femi,22
femi,22
femy,25
femy,18
femy,18
femy,25
femy,18
femy,33
femy,25
femy,18
fepe,12
fepe,12
fepe,12
fepe,12
fepe,12
fepe,12
fepe,12
fepe,12
grca,23
grca,23
grca,23
hoin,22
hoin,22
hoin,18
hoin,22
hoin,18
hoin,22
hoin,25
leco,23
leco,34
leco,26
masa,22
masa,22
masa,22
masa,22
masa,22
masa,22
masa,25
masa,25
meim,41
meim,41
meim,38
muri,52
muri,52
muri,52
muri,52
muri,52
muri,52
muri,52
pehe,33
pehe,33
pehe,33
pehe,33
pehe,33
pehe,40
pehe,31
pehe,33
phci,22
phci,22
phci,22
phci,20
phci,29
phci,25
phci,22
phci,25
saco,20
saco,20
saco,20
saco,23
saco,23
saco,23
saco,20
saco,20
sibe,52
sibe,52
sibe,52
sibe,52
sibe,52
sibe,52
sibe,52
sibe,52
stpu,33
stpu,33
stpu,35
stpu,35
stpu,35
stpu,33
stpu,31
stpu,33
