TraitName,Proper,Units,UnitsImproved
LMA,LMA,g m-2,LMA~(g~m^-2)
Leaf_N,Leaf Nitrogen,%,Leaf~Nitrogen~('%')
SRL,SRL,m root g-1 root,SRL~(m~root~g^-1~root)
Rdiam,Rdiam,mm,R[diam]~(mm)
RTD,RTD,g root cm-3 root,RTD~(g~root~cm^-3~root)
Shoot_Mass,Shoot Mass,g,Shoot~Mass~(g)
RMF,RMF,%,RMF~('%')
Photo,Aarea,µmol m^-2 s^-1,A[area]~(µmol~m^-2~s^-1)
WUE,WUE,µmol CO2 mmol^-1 H2O,WUE~(µmol~CO[2]~mmol^-1~H2O)
Survival_Days,Drydown Survival,days,Drought~Survival~(days)
E,E,mol m^-2 s^-1,E~(mol~m^-2~s^-1)
RLD,RLD,cm root cm-3 soil,RLD~(cm~root~cm^-3~soil)
Root_Mass,Shoot Mass,g,Root~Mass~(g)
